# tracer: nop
#
# entries-in-buffer/entries-written: 660/660   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                             || / _--=> preempt-depth
#                             ||| / _-=> migrate-disable
#                            |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    GameLoop-1000 [008] d..1.   1000.087798: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.087803: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.087808: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.087813: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.087823: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.087823: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.087823: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.087828: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.088320: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.088977: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.090333: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.090338: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.090348: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.090661: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.092866: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.092871: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.092881: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
      swapper/5-0 [005] d..1.   1000.093331: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     NetProc-1010 [009] d..1.   1000.093422: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
     Physics-1001 [004] d..1.   1000.093501: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.093506: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.093516: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
    AIDecide-1008 [010] d..1.   1000.095374: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.097573: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.099490: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.099495: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.099505: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.100002: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.100739: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.100744: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.100754: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.103021: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.104468: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.104473: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.104478: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.104483: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.104488: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.104498: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.104498: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.104498: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.104503: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.105029: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.105849: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.107099: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.107104: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.107114: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.107331: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.109528: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.109533: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.109543: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
      swapper/5-0 [005] d..1.   1000.110020: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     NetProc-1010 [009] d..1.   1000.110039: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
     Physics-1001 [004] d..1.   1000.110171: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.110176: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.110186: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
    AIDecide-1008 [010] d..1.   1000.111938: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.114366: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.116218: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.116223: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.116233: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.116669: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.117366: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.117371: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.117381: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.119849: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.121032: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.121037: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.121042: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.121047: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.121052: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.121062: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.121062: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.121062: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.121067: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.121706: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.122393: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.123677: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.123682: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.123692: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.123895: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.126055: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.126060: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.126070: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
      swapper/5-0 [005] d..1.   1000.126718: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     Physics-1001 [004] d..1.   1000.126783: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.126788: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.126798: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
     NetProc-1010 [009] d..1.   1000.126809: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
    AIDecide-1008 [010] d..1.   1000.128513: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.130941: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.132831: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.132836: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.132846: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.133336: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.134028: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.134033: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.134043: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.136446: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.137654: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.137659: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.137664: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.137669: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.137674: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.137684: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.137684: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.137684: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.137689: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.138326: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.138833: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.140262: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.140267: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.140277: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.140517: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.142680: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.142685: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.142695: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
      swapper/5-0 [005] d..1.   1000.143349: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     NetProc-1010 [009] d..1.   1000.143356: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
     Physics-1001 [004] d..1.   1000.143377: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.143382: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.143392: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
    AIDecide-1008 [010] d..1.   1000.145295: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.147634: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.149364: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.149369: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.149379: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.150003: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.150827: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.150832: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.150842: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.152981: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.154588: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.154593: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.154598: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.154603: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.154608: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.154618: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.154618: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.154618: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
      swapper/8-0 [008] d..1.   1000.154623: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetSend next_pid=1006 next_prio=120
     swapper/11-0 [011] d..1.   1000.154986: sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetRecv next_pid=1009 next_prio=120
     NetSend-1006 [008] d..1.   1000.155824: sched_switch: prev_comm=NetSend prev_pid=1006 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
     NetRecv-1009 [011] d..1.   1000.157091: sched_wakeup: comm=NetProc pid=1010 prio=120 target_cpu=009
     NetRecv-1009 [011] d..1.   1000.157096: sched_switch: prev_comm=NetRecv prev_pid=1009 prev_prio=120 prev_state=S ==> next_comm=swapper/11 next_pid=0 next_prio=120
      swapper/9-0 [009] d..1.   1000.157106: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NetProc next_pid=1010 next_prio=120
       Audio-1003 [007] d..1.   1000.157427: sched_switch: prev_comm=Audio prev_pid=1003 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
          AI-1005 [001] d..1.   1000.159596: sched_wakeup: comm=AIDecide pid=1008 prio=120 target_cpu=010
          AI-1005 [001] d..1.   1000.159601: sched_switch: prev_comm=AI prev_pid=1005 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
     swapper/10-0 [010] d..1.   1000.159611: sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AIDecide next_pid=1008 next_prio=120
      swapper/5-0 [005] d..1.   1000.160007: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GC next_pid=1011 next_prio=120
     NetProc-1010 [009] d..1.   1000.160163: sched_switch: prev_comm=NetProc prev_pid=1010 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
     Physics-1001 [004] d..1.   1000.160280: sched_wakeup: comm=Render pid=1002 prio=120 target_cpu=000
     Physics-1001 [004] d..1.   1000.160285: sched_switch: prev_comm=Physics prev_pid=1001 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
      swapper/0-0 [000] d..1.   1000.160295: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Render next_pid=1002 next_prio=120
    AIDecide-1008 [010] d..1.   1000.162154: sched_switch: prev_comm=AIDecide prev_pid=1008 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
          GC-1011 [005] d..1.   1000.164326: sched_switch: prev_comm=GC prev_pid=1011 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
      Render-1002 [000] d..1.   1000.166335: sched_wakeup: comm=PostProc pid=1007 prio=120 target_cpu=006
      Render-1002 [000] d..1.   1000.166340: sched_switch: prev_comm=Render prev_pid=1002 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
      swapper/6-0 [006] d..1.   1000.166350: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=PostProc next_pid=1007 next_prio=120
      swapper/9-0 [009] d..1.   1000.166670: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.167417: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.167422: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.167432: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    PostProc-1007 [006] d..1.   1000.169950: sched_switch: prev_comm=PostProc prev_pid=1007 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
    GameLoop-1000 [008] d..1.   1000.171148: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.171153: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.171158: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.171163: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.171168: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.171178: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.171178: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.171178: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
