Attribute Name	Tag	Retd. (from PS3.6)	In Std. Comp. IOD (from PS3.3)	Basic Prof.	Rtn. Safe Priv. Opt.	Rtn. UIDs Opt.	Rtn. Dev. Id. Opt.	Rtn. Inst. Id. Opt.	Rtn. Pat. Chars. Opt.	Rtn. Long. Full Dates Opt.	Rtn. Long. Modif. Dates Opt.	Clean Desc. Opt.	Clean Struct. Cont. Opt.	Clean Graph. Opt.
ROI Creator Sequence	(3006,004D)	N	Y	X										
ROI DateTime	(3006,002D)	N	Y	X						K	C			
ROI Description	(3006,0028)	N	Y	X								C		
ROI Generation Description	(3006,0038)	N	Y	X								C		
ROI Interpreter	(3006,00A6)	N	Y	Z										
ROI Interpreter Sequence	(3006,004E)	N	Y	X										
ROI Name	(3006,0026)	N	Y	Z								C		
ROI Observation DateTime	(3006,002E)	N	Y	X						K	C			
ROI Observation Description	(3006,0088)	Y	Y	X								C		
ROI Observation Label	(3006,0085)	Y	Y	X								C		
RT Accessory Device Slot ID	(300A,0615)	N	Y	Z										
RT Accessory Holder Slot ID	(300A,0611)	N	Y	Z										
RT Physician Intent Narrative	(3010,005A)	N	Y	Z								C		
RT Plan Date	(300A,0006)	N	Y	X/D						K	C			
RT Plan Description	(300A,0004)	N	Y	X								C		
RT Plan Label	(300A,0002)	N	Y	D								C		
RT Plan Name	(300A,0003)	N	Y	X								C		
RT Plan Time	(300A,0007)	N	Y	X/D						K	C			
RT Prescription Label	(3010,0054)	N	Y	D								C		
RT Tolerance Set Label	(300A,062A)	N	Y	D								C		
RT Treatment Approach Label	(3010,0056)	N	Y	X/D								C		
RT Treatment Phase UID	(3010,003B)	N	Y	U		K								
Safe Position Exit Date	(3008,0162)	N	Y	D						K	C			
Safe Position Exit Time	(3008,0164)	N	Y	D						K	C			
Safe Position Return Date	(3008,0166)	N	Y	D						K	C			
Safe Position Return Time	(3008,0168)	N	Y	D						K	C			
Scheduled Admission Date	(0038,001A)	Y	N	X						K	C			
Scheduled Admission Time	(0038,001B)	Y	N	X						K	C			
Scheduled Discharge Date	(0038,001C)	Y	N	X						K	C			
Scheduled Discharge Time	(0038,001D)	Y	N	X						K	C			
Scheduled Human Performers Sequence	(0040,4034)	N	N	X										
Scheduled Patient Institution Residence	(0038,001E)	Y	N	X										
Scheduled Performing Physician's Name	(0040,0006)	N	N	X										
Scheduled Performing Physician Identification Sequence	(0040,000B)	N	N	X										
Scheduled Procedure Step Description	(0040,0007)	N	Y	X								C		
Scheduled Procedure Step End Date	(0040,0004)	N	N	X						K	C			
Scheduled Procedure Step End Time	(0040,0005)	N	N	X						K	C			
Scheduled Procedure Step Expiration DateTime	(0040,4008)	N	N	X						K	C			
Scheduled Procedure Step ID	(0040,0009)	N	Y	X										
Scheduled Procedure Step Location	(0040,0011)	N	N	X			K							
Scheduled Procedure Step Modification DateTime	(0040,4010)	N	N	X						K	C			
Scheduled Procedure Step Start Date	(0040,0002)	N	N	X						K	C			
Scheduled Procedure Step Start DateTime	(0040,4005)	N	N	X						K	C			
Scheduled Procedure Step Start Time	(0040,0003)	N	N	X						K	C			
Scheduled Station AE Title	(0040,0001)	N	N	X			C							
Scheduled Station Geographic Location Code Sequence	(0040,4027)	N	N	X			K							
Scheduled Station Name	(0040,0010)	N	N	X			K							
Scheduled Station Name Code Sequence	(0040,4025)	N	N	X			K							
Scheduled Study Location	(0032,1020)	Y	N	X			K							
Scheduled Study Location AE Title	(0032,1021)	Y	N	X			C							
Scheduled Study Start Date	(0032,1000)	Y	N	X						K	C			
Scheduled Study Start Time	(0032,1001)	Y	N	X						K	C			
Scheduled Study Stop Date	(0032,1010)	Y	N	X						K	C			
Scheduled Study Stop Time	(0032,1011)	Y	N	X						K	C			
Secondary Capture Device ID	(0018,1010)	N	Y	X			K							
Secondary Diagnoses Code Sequence	(0008,1303)	N	Y	X								C		
Segment Definition DateTime	(0040,B036)	N	Y	X						K	C			
Selector AE Value	(0072,005E)	N	Y	D			C							
Selector AS Value	(0072,005F)	N	Y	D					K					
Selector DA Value	(0072,0061)	N	Y	D						K	C			
Selector DT Value	(0072,0063)	N	Y	D						K	C			
Selector LO Value	(0072,0066)	N	Y	D								C		
Selector LT Value	(0072,0068)	N	Y	D								C		
Selector OB Value	(0072,0065)	N	Y	D										
Selector PN Value	(0072,006A)	N	Y	D										
Selector SH Value	(0072,006C)	N	Y	D								C		
Selector ST Value	(0072,006E)	N	Y	D								C		
Selector TM Value	(0072,006B)	N	Y	D						K	C			
Selector UN Value	(0072,006D)	N	Y	D										
Selector UR Value	(0072,0071)	N	Y	D										
Selector UT Value	(0072,0070)	N	Y	D								C		
Series Date	(0008,0021)	N	Y	X/D						K	C			
Series Description	(0008,103E)	N	Y	X								C		
Series Instance UID	(0020,000E)	N	Y	U		K								
Series Time	(0008,0031)	N	Y	X/D						K	C			
Service Episode Description	(0038,0062)	N	Y	X								C		
Service Episode ID	(0038,0060)	N	Y	X										
Setup Technique Description	(300A,01B2)	N	Y	X								C		
Sex Parameters for Clinical Use Category Code Sequence	(0010,0046)	N	Y	X					K					
Sex Parameters for Clinical Use Category Comment	(0010,0042)	N	Y	X					C			C		
Sex Parameters for Clinical Use Category Reference	(0010,0047)	N	Y	X					K					
Sex Parameters for Clinical Use Category Sequence	(0010,0043)	N	Y	X					K					
Shielding Device Description	(300A,01A6)	N	Y	X								C		
Slide Identifier	(0040,06FA)	Y	N	X										
Smoking Status	(0010,21A0)	N	N	X					K					
SOP Authorization DateTime	(0100,0420)	N	Y	X						K	C			
SOP Instance UID	(0008,0018)	N	Y	U		K								
Source Conceptual Volume UID	(3010,0015)	N	Y	U		K								
Source End DateTime	(0018,936A)	N	Y	D						K	C			
Source Frame of Reference UID	(0064,0003)	N	Y	U		K								
Source Identifier	(0034,0005)	N	Y	D										
Source Image Sequence	(0008,2112)	N	Y	X/Z/U*		K								
Source Manufacturer	(300A,0216)	N	Y	X			K							
Source of Previous Values	(0400,0564)	N	Y	Z				K						
Source Serial Number	(3008,0105)	N	Y	X/Z			K							
Source Start DateTime	(0018,9369)	N	Y	D						K	C			
Source Strength Reference Date	(300A,022C)	N	Y	D						K	C			
Source Strength Reference Time	(300A,022E)	N	Y	D						K	C			
Special Needs	(0038,0050)	N	N	X					C					
Specimen Accession Number	(0040,050A)	Y	N	X										
Specimen Detailed Description	(0040,0602)	N	Y	X								C		
Specimen Identifier	(0040,0551)	N	Y	D										
Specimen Preparation Sequence	(0040,0610)	N	Y	Z									C	
Specimen Short Description	(0040,0600)	N	Y	X								C		
Specimen UID	(0040,0554)	N	Y	U		K								
Start Acquisition DateTime	(0018,9516)	N	Y	X/D						K	C			
Station AE Title	(0008,0055)	N	Y	X			C							
Station Name	(0008,1010)	N	Y	X/Z/D			K							
Storage Media File-set UID	(0088,0140)	N	Y	U		K								
Structure Set Date	(3006,0008)	N	Y	Z						K	C			
Structure Set Description	(3006,0006)	N	Y	X								C		
Structure Set Label	(3006,0002)	N	Y	D								C		
Structure Set Name	(3006,0004)	N	Y	X								C		
Structure Set Time	(3006,0009)	N	Y	Z						K	C			
Study Arrival Date	(0032,1040)	Y	N	X						K	C			
Study Arrival Time	(0032,1041)	Y	N	X						K	C			
Study Comments	(0032,4000)	Y	N	X								C		
Study Completion Date	(0032,1050)	Y	N	X						K	C			
Study Completion Time	(0032,1051)	Y	N	X						K	C			
Study Date	(0008,0020)	N	Y	Z						K	C			
Study Description	(0008,1030)	N	Y	X								C		
Study ID	(0020,0010)	N	Y	Z										
Study ID Issuer	(0032,0012)	Y	N	X										
Study Instance UID	(0020,000D)	N	Y	U		K								
Study Read Date	(0032,0034)	Y	N	X						K	C			
Study Read Time	(0032,0035)	Y	N	X						K	C			
Study Time	(0008,0030)	N	Y	Z						K	C			
Study Verified Date	(0032,0032)	Y	N	X						K	C			
Study Verified Time	(0032,0033)	Y	N	X						K	C			
Substance Administration DateTime	(0044,0010)	N	N	X						K	C			
Synchronization Frame of Reference UID	(0020,0200)	N	Y	U		K								
Table Top Position Alignment UID	(300A,0054)	N	Y	U		K								
Target UID	(0018,2042)	N	Y	U		K								
Telephone Number (Trial)	(0040,A354)	Y	N	X										
Template Extension Creator UID	(0040,DB0D)	Y	N	U		K								
Template Extension Organization UID	(0040,DB0C)	Y	N	U		K								
Template Local Version	(0040,DB07)	Y	N	X						K	C			
Template Version	(0040,DB06)	Y	N	X						K	C			
Text Comments	(4000,4000)	Y	N	X										
Text String	(2030,0020)	N	N	X										
Third Person Pronouns Sequence	(0010,0014)	N	Y	X										
Time	(0040,A122)	N	Y	D						K	C			
Time of Document Creation or Verbal Transaction (Trial)	(0040,A112)	Y	N	X						K	C			
Time of Last Calibration	(0018,1201)	N	Y	X			K			K	C			
Time of Last Detector Calibration	(0018,700E)	N	Y	X/D			K			K	C			
Time of Secondary Capture	(0018,1014)	N	Y	X						K	C			
Timezone Offset From UTC	(0008,0201)	N	Y	X						K	C			
Topic Author	(0088,0910)	Y	N	X										
Topic Keywords	(0088,0912)	Y	N	X										
Topic Subject	(0088,0906)	Y	N	X										
Topic Title	(0088,0904)	Y	N	X										
Tracking UID	(0062,0021)	N	Y	U		K								
Transaction UID	(0008,1195)	N	N	U		K								
Transducer Identification Sequence	(0018,5011)	N	Y	X			K							
Treatment Control Point Date	(3008,0024)	N	Y	D						K	C			
Treatment Control Point Time	(3008,0025)	N	Y	D						K	C			
Treatment Date	(3008,0250)	N	Y	X/D						K	C			
Treatment Machine Name	(300A,00B2)	N	Y	X/Z			K							
Treatment Position Group Label	(300A,0608)	N	Y	D								C		
Treatment Position Group UID	(300A,0609)	N	Y	U		K								
Treatment Session UID	(300A,0700)	N	Y	U		K								
Treatment Site	(3010,0077)	N	Y	X/D								C		
Treatment Sites	(300A,000B)	Y	N	X								C		
Treatment Technique Notes	(3010,007A)	N	Y	Z								C		
Treatment Time	(3008,0251)	N	Y	X/D						K	C			
Treatment Tolerance Violation DateTime	(300A,0736)	N	Y	D						K	C			
Treatment Tolerance Violation Description	(300A,0734)	N	Y	D								C		
UDI Sequence	(0018,100A)	N	Y	X			K							
UID	(0040,A124)	N	Y	U										
Unformatted Text Value	(0070,0006)	N	Y	D								C		
Unique Device Identifier	(0018,1009)	N	Y	X			K							
User Content Label	(3010,0033)	N	Y	D								C		
User Content Long Label	(3010,0034)	N	Y	D								C		
Verbal Source (Trial)	(0040,A352)	Y	N	X										
Verbal Source Identifier Code Sequence (Trial)	(0040,A358)	Y	N	X										
Verification DateTime	(0040,A030)	N	Y	D						K	C			
Verifying Observer Identification Code Sequence	(0040,A088)	N	Y	Z										
Verifying Observer Name	(0040,A075)	N	Y	D										
Verifying Observer Sequence	(0040,A073)	N	Y	D										
Verifying Organization	(0040,A027)	N	Y	D										
Visit Comments	(0038,4000)	N	N	X								C		
Waveform Annotation Sequence	(0040,B020)	N	Y	X/D									C	
​Waveform Filter Description	(003A,0329)	N	Y	X								C		
X-Ray Detector ID	(0018,9371)	N	Y	D			K							
X-Ray Detector Label	(0018,9373)	N	Y	X			K							
X-Ray Source ID	(0018,9367)	N	Y	D			K							
