omega,A33,B33,A39,B39,A93,B93,A99,B99,ModF3,PhaF3,ModF9,PhaF9
2.979998,1.152720E+03,6.321319E+00,-1.246022E+02,-5.862320E-01,-1.255540E+02,-5.511175E-01,8.921999E+03,5.110754E-02,3.717646E+00,117,3.240969E-01,-63
2.999997,1.154217E+03,5.950365E+00,-1.247573E+02,-5.549852E-01,-1.248172E+02,-5.195171E-01,8.911418E+03,4.845573E-02,3.583082E+00,124,3.128298E-01,-56
3.019997,1.155738E+03,5.601949E+00,-1.253839E+02,-5.240497E-01,-1.268740E+02,-4.897223E-01,8.926920E+03,4.581632E-02,3.453530E+00,131,3.019286E-01,-49
3.039997,1.157144E+03,5.273633E+00,-1.255213E+02,-4.961109E-01,-1.237432E+02,-4.613850E-01,8.916391E+03,4.340803E-02,3.328788E+00,138,2.912430E-01,-42
3.059998,1.158561E+03,4.964301E+00,-1.259153E+02,-4.685560E-01,-1.241067E+02,-4.349394E-01,8.920828E+03,4.104890E-02,3.208784E+00,146,2.810932E-01,-34
3.079997,1.160029E+03,4.673210E+00,-1.262442E+02,-4.412227E-01,-1.291449E+02,-4.102358E-01,8.921211E+03,3.873140E-02,3.093234E+00,153,2.715122E-01,-27
3.099998,1.161310E+03,4.399068E+00,-1.266320E+02,-4.232483E-01,-1.239297E+02,-3.865893E-01,8.923385E+03,3.719791E-02,2.982043E+00,160,2.620791E-01,-20
3.119998,1.162663E+03,4.141179E+00,-1.267699E+02,-3.975990E-01,-1.264597E+02,-3.646595E-01,8.917579E+03,3.500795E-02,2.874984E+00,167,2.531361E-01,-13
3.139998,1.164050E+03,3.898655E+00,-1.270423E+02,-3.768005E-01,-1.313231E+02,-3.438251E-01,8.915796E+03,3.323482E-02,2.772028E+00,174,2.444952E-01,-6
3.159998,1.165270E+03,3.671841E+00,-1.274541E+02,-3.589394E-01,-1.285537E+02,-3.246445E-01,8.920688E+03,3.173673E-02,2.672907E+00,-178,2.363197E-01,2
3.179997,1.166529E+03,3.457056E+00,-1.277827E+02,-3.381978E-01,-1.294518E+02,-3.061621E-01,8.920045E+03,2.995583E-02,2.577664E+00,-171,2.283070E-01,9
3.199997,1.167638E+03,3.254941E+00,-1.279678E+02,-3.203596E-01,-1.225835E+02,-2.889920E-01,8.917459E+03,2.844290E-02,2.485985E+00,-163,2.207125E-01,17
3.219998,1.168956E+03,3.066544E+00,-1.284001E+02,-3.058721E-01,-1.302640E+02,-2.729027E-01,8.921190E+03,2.721570E-02,2.397817E+00,-156,2.133627E-01,24
3.239998,1.170120E+03,2.887778E+00,-1.287801E+02,-2.911426E-01,-1.291608E+02,-2.577006E-01,8.926271E+03,2.597988E-02,2.312978E+00,-148,2.063752E-01,32
3.259997,1.171286E+03,2.720164E+00,-1.288571E+02,-2.738224E-01,-1.306440E+02,-2.433421E-01,8.914368E+03,2.449619E-02,2.231422E+00,-141,1.996187E-01,39
3.279997,1.172424E+03,2.562859E+00,-1.291963E+02,-2.624477E-01,-1.312909E+02,-2.299019E-01,8.919724E+03,2.354361E-02,2.152956E+00,-133,1.931231E-01,47
3.299997,1.173488E+03,2.415560E+00,-1.295487E+02,-2.469544E-01,-1.308409E+02,-2.174467E-01,8.926769E+03,2.223346E-02,2.077499E+00,-126,1.870232E-01,54
3.319998,1.174616E+03,2.275396E+00,-1.296949E+02,-2.348478E-01,-1.318314E+02,-2.055252E-01,8.917928E+03,2.121842E-02,2.004942E+00,-118,1.811239E-01,62
3.339997,1.175618E+03,2.145365E+00,-1.299430E+02,-2.237817E-01,-1.300838E+02,-1.941717E-01,8.920282E+03,2.025503E-02,1.935156E+00,-110,1.751414E-01,70
3.359998,1.176741E+03,2.022199E+00,-1.304240E+02,-2.153042E-01,-1.334595E+02,-1.836547E-01,8.930436E+03,1.955622E-02,1.868077E+00,-102,1.696634E-01,78
3.379997,1.177658E+03,1.906959E+00,-1.305366E+02,-2.023903E-01,-1.287587E+02,-1.740878E-01,8.918401E+03,1.847485E-02,1.803622E+00,-94,1.646127E-01,86
3.399998,1.178703E+03,1.798925E+00,-1.308567E+02,-1.935727E-01,-1.316811E+02,-1.647199E-01,8.928862E+03,1.772541E-02,1.741554E+00,-86,1.594627E-01,94
3.419998,1.179704E+03,1.697584E+00,-1.311512E+02,-1.850251E-01,-1.334114E+02,-1.562098E-01,8.930507E+03,1.702691E-02,1.681969E+00,-78,1.547819E-01,101
3.439997,1.180676E+03,1.601274E+00,-1.312635E+02,-1.755170E-01,-1.318480E+02,-1.480346E-01,8.919281E+03,1.622758E-02,1.624732E+00,-70,1.502071E-01,110
3.459997,1.181574E+03,1.511337E+00,-1.314913E+02,-1.672706E-01,-1.298576E+02,-1.401078E-01,8.920512E+03,1.551073E-02,1.569667E+00,-62,1.455444E-01,118
3.479998,1.182524E+03,1.426484E+00,-1.319558E+02,-1.595474E-01,-1.311010E+02,-1.329250E-01,8.926064E+03,1.486448E-02,1.516811E+00,-54,1.412984E-01,126
3.499998,1.183395E+03,1.348149E+00,-1.319387E+02,-1.529702E-01,-1.303927E+02,-1.261381E-01,8.912967E+03,1.431591E-02,1.466063E+00,-46,1.371745E-01,134
3.519998,1.184404E+03,1.273532E+00,-1.322000E+02,-1.466340E-01,-1.352877E+02,-1.197329E-01,8.921444E+03,1.378706E-02,1.417256E+00,-38,1.332358E-01,142
3.539998,1.185209E+03,1.203598E+00,-1.324197E+02,-1.398820E-01,-1.298816E+02,-1.138810E-01,8.915563E+03,1.323105E-02,1.370331E+00,-30,1.295845E-01,150
3.559997,1.186129E+03,1.137932E+00,-1.326407E+02,-1.340450E-01,-1.347107E+02,-1.081166E-01,8.915297E+03,1.273404E-02,1.325283E+00,-21,1.258627E-01,159
3.579997,1.186988E+03,1.076319E+00,-1.329651E+02,-1.288160E-01,-1.351183E+02,-1.026734E-01,8.919700E+03,1.229346E-02,1.281903E+00,-13,1.223117E-01,167
3.599996,1.187769E+03,1.018540E+00,-1.332251E+02,-1.252507E-01,-1.331224E+02,-9.795723E-02,8.919339E+03,1.204216E-02,1.240257E+00,-5,1.192342E-01,175
3.619997,1.188607E+03,9.644384E-01,-1.334020E+02,-1.174587E-01,-1.324797E+02,-9.309549E-02,8.920380E+03,1.133918E-02,1.200273E+00,4,1.158519E-01,-176
3.639997,1.189434E+03,9.132853E-01,-1.336958E+02,-1.153555E-01,-1.333830E+02,-8.852042E-02,8.922408E+03,1.119939E-02,1.161901E+00,12,1.127963E-01,-168
3.659996,1.190236E+03,8.648152E-01,-1.337994E+02,-1.097668E-01,-1.331914E+02,-8.429334E-02,8.917665E+03,1.072212E-02,1.125001E+00,21,1.098437E-01,-159
3.679996,1.191007E+03,8.201879E-01,-1.341416E+02,-1.045228E-01,-1.331685E+02,-8.066740E-02,8.918825E+03,1.028086E-02,1.089593E+00,29,1.071745E-01,-151
3.699996,1.191841E+03,7.773381E-01,-1.345110E+02,-1.006246E-01,-1.356688E+02,-7.688034E-02,8.928225E+03,9.950403E-03,1.055635E+00,38,1.043823E-01,-142
3.719996,1.192675E+03,7.380596E-01,-1.347622E+02,-9.784552E-02,-1.392114E+02,-7.348736E-02,8.929385E+03,9.742113E-03,1.022990E+00,47,1.018398E-01,-133
3.739998,1.193290E+03,7.010019E-01,-1.348840E+02,-9.488255E-02,-1.318291E+02,-7.011241E-02,8.923761E+03,9.492658E-03,9.916556E-01,55,9.921247E-02,-125
3.759998,1.194154E+03,6.656447E-01,-1.349440E+02,-9.052029E-02,-1.376770E+02,-6.707656E-02,8.919537E+03,9.120042E-03,9.615051E-01,64,9.686035E-02,-116
3.779996,1.194831E+03,6.328464E-01,-1.352454E+02,-8.696240E-02,-1.348212E+02,-6.424805E-02,8.924064E+03,8.823904E-03,9.326510E-01,73,9.461820E-02,-107
3.799997,1.195627E+03,6.018854E-01,-1.355404E+02,-8.380801E-02,-1.369311E+02,-6.160069E-02,8.922401E+03,8.576191E-03,9.048666E-01,82,9.257121E-02,-98
3.819997,1.196312E+03,5.723264E-01,-1.357988E+02,-8.228523E-02,-1.367568E+02,-5.877978E-02,8.931650E+03,8.456335E-03,8.782503E-01,91,9.024610E-02,-89
3.839996,1.197014E+03,5.448319E-01,-1.360068E+02,-7.948951E-02,-1.353140E+02,-5.639147E-02,8.924409E+03,8.236567E-03,8.527389E-01,100,8.836853E-02,-80
3.859998,1.197677E+03,5.195622E-01,-1.361880E+02,-7.651183E-02,-1.349222E+02,-5.417305E-02,8.920948E+03,7.975596E-03,8.281776E-01,109,8.631445E-02,-71
3.879997,1.198449E+03,4.952982E-01,-1.365026E+02,-7.471450E-02,-1.372379E+02,-5.187032E-02,8.930921E+03,7.833496E-03,8.046077E-01,118,8.433757E-02,-62
3.899998,1.199072E+03,4.725634E-01,-1.366364E+02,-7.276011E-02,-1.342655E+02,-4.992805E-02,8.926649E+03,7.701408E-03,7.819979E-01,127,8.274889E-02,-53
3.919996,1.199772E+03,4.510057E-01,-1.369018E+02,-7.098713E-02,-1.354393E+02,-4.810255E-02,8.927465E+03,7.568603E-03,7.602846E-01,136,8.104409E-02,-44
3.939998,1.200473E+03,4.304473E-01,-1.369262E+02,-6.878651E-02,-1.354218E+02,-4.616873E-02,8.923059E+03,7.373589E-03,7.393521E-01,145,7.925813E-02,-35
3.959997,1.201255E+03,4.125291E-01,-1.373304E+02,-6.672300E-02,-1.408552E+02,-4.447006E-02,8.926418E+03,7.218941E-03,7.194618E-01,154,7.783978E-02,-26
3.979997,1.201774E+03,3.940383E-01,-1.374535E+02,-6.500666E-02,-1.330170E+02,-4.297792E-02,8.926870E+03,7.095596E-03,7.003504E-01,164,7.641483E-02,-16
3.999996,1.202437E+03,3.778404E-01,-1.375428E+02,-6.379255E-02,-1.339570E+02,-4.141917E-02,8.916915E+03,6.993943E-03,6.817136E-01,173,7.472129E-02,-7
4.019996,1.203140E+03,3.620675E-01,-1.377178E+02,-6.081344E-02,-1.363106E+02,-4.002954E-02,8.912893E+03,6.723824E-03,6.639388E-01,-178,7.340378E-02,2
4.039997,1.203849E+03,3.471007E-01,-1.381792E+02,-6.022080E-02,-1.396638E+02,-3.867706E-02,8.926089E+03,6.714425E-03,6.469910E-01,-168,7.211050E-02,12
4.059996,1.204505E+03,3.330443E-01,-1.383809E+02,-6.020231E-02,-1.407365E+02,-3.740127E-02,8.926492E+03,6.766273E-03,6.306103E-01,-159,7.085401E-02,21
4.079996,1.205194E+03,3.205281E-01,-1.385829E+02,-5.862138E-02,-1.426091E+02,-3.628687E-02,8.917895E+03,6.635602E-03,6.149402E-01,-149,6.960223E-02,31
4.099998,1.205735E+03,3.075120E-01,-1.390062E+02,-5.716258E-02,-1.354642E+02,-3.507064E-02,8.930296E+03,6.520178E-03,5.998761E-01,-140,6.840396E-02,40
4.119997,1.206377E+03,2.962028E-01,-1.390594E+02,-5.490797E-02,-1.349714E+02,-3.402209E-02,8.927620E+03,6.304424E-03,5.854152E-01,-130,6.722069E-02,50
4.139996,1.207029E+03,2.850980E-01,-1.392885E+02,-5.400891E-02,-1.341008E+02,-3.300820E-02,8.924278E+03,6.258002E-03,5.714402E-01,-120,6.621286E-02,60
4.159997,1.207718E+03,2.752284E-01,-1.394928E+02,-5.241719E-02,-1.382916E+02,-3.208227E-02,8.931812E+03,6.114412E-03,5.580434E-01,-111,6.508525E-02,69
4.179998,1.208439E+03,2.650957E-01,-1.400435E+02,-5.324729E-02,-1.422552E+02,-3.123331E-02,8.940318E+03,6.262498E-03,5.452007E-01,-101,6.411790E-02,79
4.199996,1.209073E+03,2.561130E-01,-1.401287E+02,-5.056543E-02,-1.462208E+02,-3.042638E-02,8.936654E+03,6.006395E-03,5.328547E-01,-91,6.328478E-02,89
4.219996,1.209605E+03,2.479264E-01,-1.402717E+02,-5.020556E-02,-1.370932E+02,-2.955659E-02,8.942136E+03,5.997759E-03,5.211309E-01,-81,6.225411E-02,99
4.239998,1.210240E+03,2.394322E-01,-1.404879E+02,-4.955718E-02,-1.361023E+02,-2.883845E-02,8.931797E+03,5.961680E-03,5.096337E-01,-71,6.130339E-02,109
4.259997,1.210821E+03,2.315647E-01,-1.406375E+02,-4.908001E-02,-1.348372E+02,-2.810146E-02,8.927729E+03,5.945386E-03,4.986395E-01,-61,6.039266E-02,119
4.279997,1.211547E+03,2.246781E-01,-1.408552E+02,-4.918833E-02,-1.353295E+02,-2.742243E-02,8.927795E+03,6.009816E-03,4.882379E-01,-51,5.964728E-02,129
4.299997,1.212307E+03,2.178511E-01,-1.411197E+02,-4.843997E-02,-1.411663E+02,-2.679558E-02,8.920898E+03,5.961947E-03,4.778978E-01,-41,5.881869E-02,139
4.319997,1.212833E+03,2.115020E-01,-1.417153E+02,-4.801480E-02,-1.364969E+02,-2.628624E-02,8.941202E+03,5.968234E-03,4.679894E-01,-31,5.815956E-02,149
4.339996,1.213540E+03,2.052957E-01,-1.417861E+02,-4.584275E-02,-1.375618E+02,-2.565794E-02,8.929743E+03,5.729395E-03,4.585736E-01,-21,5.730320E-02,159
4.359996,1.214205E+03,1.995992E-01,-1.420326E+02,-4.584216E-02,-1.400673E+02,-2.514397E-02,8.928431E+03,5.770587E-03,4.495467E-01,-11,5.656134E-02,169
4.379998,1.214848E+03,1.944581E-01,-1.421928E+02,-4.511482E-02,-1.385645E+02,-2.458741E-02,8.924036E+03,5.717774E-03,4.407479E-01,-1,5.585483E-02,179
4.399996,1.215422E+03,1.892498E-01,-1.422674E+02,-4.589152E-02,-1.358665E+02,-2.420456E-02,8.910549E+03,5.873735E-03,4.322775E-01,9,5.530962E-02,-171
4.419997,1.216256E+03,1.843504E-01,-1.429292E+02,-4.427718E-02,-1.425359E+02,-2.369898E-02,8.943670E+03,5.689173E-03,4.240310E-01,20,5.448149E-02,-160
4.439996,1.217004E+03,1.795528E-01,-1.431853E+02,-4.401848E-02,-1.441823E+02,-2.325884E-02,8.934946E+03,5.702747E-03,4.159791E-01,30,5.385984E-02,-150
4.459997,1.217727E+03,1.754451E-01,-1.433309E+02,-4.362422E-02,-1.456362E+02,-2.283944E-02,8.935539E+03,5.682790E-03,4.084478E-01,40,5.316027E-02,-140
4.479996,1.218332E+03,1.717238E-01,-1.436357E+02,-4.328126E-02,-1.374554E+02,-2.248713E-02,8.940036E+03,5.679197E-03,4.009892E-01,51,5.258375E-02,-129
4.499998,1.219122E+03,1.672051E-01,-1.437180E+02,-4.326387E-02,-1.423299E+02,-2.203991E-02,8.908326E+03,5.713467E-03,3.935779E-01,61,5.194353E-02,-119
4.519998,1.219898E+03,1.637240E-01,-1.442312E+02,-4.379994E-02,-1.435319E+02,-2.179909E-02,8.918964E+03,5.835639E-03,3.865699E-01,72,5.147900E-02,-108
4.539995,1.220612E+03,1.611861E-01,-1.444683E+02,-4.330596E-02,-1.399909E+02,-2.158291E-02,8.917565E+03,5.807498E-03,3.796494E-01,83,5.090208E-02,-97
4.559995,1.221432E+03,1.575162E-01,-1.447124E+02,-4.311555E-02,-1.439856E+02,-2.123471E-02,8.922093E+03,5.813630E-03,3.728895E-01,93,5.027094E-02,-87
4.579995,1.222311E+03,1.542219E-01,-1.450812E+02,-4.307875E-02,-1.470880E+02,-2.100335E-02,8.920903E+03,5.855756E-03,3.664484E-01,104,4.977760E-02,-76
4.599996,1.223041E+03,1.513508E-01,-1.452732E+02,-4.250348E-02,-1.399646E+02,-2.068558E-02,8.925945E+03,5.808524E-03,3.598256E-01,115,4.913860E-02,-65
4.619996,1.223925E+03,1.487142E-01,-1.458038E+02,-4.173393E-02,-1.406967E+02,-2.038841E-02,8.931517E+03,5.741054E-03,3.534094E-01,125,4.859505E-02,-55
4.639996,1.224818E+03,1.458006E-01,-1.461954E+02,-4.269053E-02,-1.403026E+02,-2.018408E-02,8.928050E+03,5.913786E-03,3.471417E-01,136,4.806621E-02,-44
4.659997,1.225868E+03,1.432703E-01,-1.463589E+02,-4.129750E-02,-1.455061E+02,-1.994892E-02,8.917417E+03,5.757895E-03,3.408135E-01,147,4.747979E-02,-33
4.679996,1.226673E+03,1.408754E-01,-1.464863E+02,-4.172272E-02,-1.441774E+02,-1.969273E-02,8.906247E+03,5.835267E-03,3.345609E-01,158,4.675383E-02,-22
4.699996,1.227706E+03,1.381820E-01,-1.475510E+02,-4.214534E-02,-1.421453E+02,-1.948762E-02,8.935244E+03,5.945988E-03,3.283608E-01,169,4.628978E-02,-11
4.719998,1.228602E+03,1.357438E-01,-1.482431E+02,-4.195504E-02,-1.373217E+02,-1.930368E-02,8.957446E+03,5.967571E-03,3.222560E-01,180,4.578649E-02,0
4.739995,1.229696E+03,1.335291E-01,-1.481496E+02,-4.107684E-02,-1.370060E+02,-1.899440E-02,8.931746E+03,5.860294E-03,3.158199E-01,-169,4.500291E-02,11
4.759996,1.230858E+03,1.308551E-01,-1.485454E+02,-4.209303E-02,-1.413009E+02,-1.887140E-02,8.921737E+03,6.073277E-03,3.092077E-01,-158,4.457650E-02,22
4.779996,1.232149E+03,1.286383E-01,-1.491091E+02,-4.162625E-02,-1.428038E+02,-1.862592E-02,8.922475E+03,6.027917E-03,3.026831E-01,-147,4.377673E-02,33
4.799996,1.233425E+03,1.259698E-01,-1.494827E+02,-4.074080E-02,-1.420898E+02,-1.833596E-02,8.907554E+03,5.935382E-03,2.961949E-01,-136,4.308057E-02,44
4.819998,1.234940E+03,1.236914E-01,-1.505491E+02,-4.074512E-02,-1.522524E+02,-1.816875E-02,8.941339E+03,5.980306E-03,2.891590E-01,-124,4.236279E-02,56
4.839995,1.236047E+03,1.211251E-01,-1.513985E+02,-4.040948E-02,-1.319745E+02,-1.798875E-02,8.954323E+03,6.001129E-03,2.817675E-01,-113,4.176541E-02,67
4.859994,1.237743E+03,1.179779E-01,-1.518875E+02,-4.102338E-02,-1.415578E+02,-1.756098E-02,8.934557E+03,6.125877E-03,2.740346E-01,-102,4.091917E-02,78
4.879996,1.239549E+03,1.154405E-01,-1.522934E+02,-3.990710E-02,-1.433007E+02,-1.740962E-02,8.927164E+03,6.015115E-03,2.655168E-01,-90,3.995114E-02,90
4.899995,1.241501E+03,1.119954E-01,-1.532019E+02,-3.985507E-02,-1.441617E+02,-1.700348E-02,8.945104E+03,6.062731E-03,2.563295E-01,-79,3.889713E-02,101
4.919997,1.243428E+03,1.083459E-01,-1.538757E+02,-3.763991E-02,-1.427453E+02,-1.667463E-02,8.933066E+03,5.802267E-03,2.465573E-01,-68,3.789497E-02,112
4.939996,1.245630E+03,1.043081E-01,-1.541307E+02,-3.789088E-02,-1.444383E+02,-1.629767E-02,8.913464E+03,5.928659E-03,2.356096E-01,-56,3.674414E-02,124
4.959997,1.248123E+03,9.950875E-02,-1.557994E+02,-3.656393E-02,-1.406936E+02,-1.575995E-02,8.936407E+03,5.796737E-03,2.233101E-01,-44,3.526691E-02,136
4.979995,1.251086E+03,9.425500E-02,-1.568574E+02,-3.455183E-02,-1.465587E+02,-1.522350E-02,8.948923E+03,5.594047E-03,2.096459E-01,-33,3.376370E-02,147
4.999996,1.254281E+03,8.721762E-02,-1.579553E+02,-3.238348E-02,-1.503213E+02,-1.433588E-02,8.939509E+03,5.343790E-03,1.933405E-01,-21,3.171298E-02,159
5.019998,1.258138E+03,8.053286E-02,-1.593156E+02,-3.010402E-02,-1.496201E+02,-1.363896E-02,8.928626E+03,5.120915E-03,1.743182E-01,-10,2.950000E-02,170
5.039995,1.262201E+03,7.008722E-02,-1.610090E+02,-2.631813E-02,-1.439040E+02,-1.244764E-02,8.940905E+03,4.697717E-03,1.521841E-01,2,2.689681E-02,-178
5.059997,1.267462E+03,5.886177E-02,-1.632057E+02,-2.331804E-02,-1.517864E+02,-1.117528E-02,8.944863E+03,4.455768E-03,1.251933E-01,14,2.369845E-02,-166
5.079998,1.273685E+03,4.331307E-02,-1.645453E+02,-1.695876E-02,-1.466226E+02,-9.324551E-03,8.930660E+03,3.675938E-03,9.145088E-02,26,1.945694E-02,-154
5.099996,1.281572E+03,2.275293E-02,-1.679319E+02,-8.782702E-03,-1.557462E+02,-6.942907E-03,8.935521E+03,2.731412E-03,4.929260E-02,38,1.438311E-02,-142
5.119994,1.291251E+03,-4.895187E-03,-1.705692E+02,2.240624E-03,-1.434170E+02,-3.706748E-03,8.937854E+03,1.457694E-03,6.804903E-03,-136,7.703522E-03,-130
5.139994,1.304860E+03,-4.575992E-02,-1.751948E+02,1.881200E-02,-1.641491E+02,1.176859E-03,8.944951E+03,-5.049736E-04,8.307224E-02,-119,1.617285E-03,58
5.159994,1.323670E+03,-1.053289E-01,-1.811387E+02,4.411978E-02,-1.553264E+02,8.336550E-03,8.937778E+03,-3.493933E-03,1.931054E-01,-107,1.507015E-02,73
5.179996,1.351775E+03,-2.072599E-01,-1.904143E+02,8.728828E-02,-1.525788E+02,2.053735E-02,8.930755E+03,-8.657219E-03,3.644978E-01,-95,3.599278E-02,85
5.199995,1.401066E+03,-3.946609E-01,-2.045599E+02,1.656106E-01,-1.683378E+02,4.322499E-02,8.936433E+03,-1.814288E-02,6.642827E-01,-82,7.279196E-02,98
